FAG,SPM1,SPM2,SPM3,SPM4,SPM5
Skole1,1,5,3,2,4
Skole1,2,4,1,3,3
Skole1,3,3,2,4,2
Skole1,4,2,4,5,1
Skole1,5,1,5,1,5
Skole1,1,5,3,2,4
Skole1,2,4,1,3,3
Skole1,3,3,2,4,2
Skole1,4,2,4,5,1
Skole1,5,1,5,1,5
Skole1,1,5,3,2,4
Skole1,2,4,1,3,3
Skole2,3,3,2,4,2
Skole2,4,2,4,5,1
Skole2,5,1,5,1,5
Skole2,1,5,3,2,4
Skole2,2,4,1,3,3
Skole2,3,3,2,4,2
Skole2,4,2,4,5,1
Skole2,5,1,5,1,5
Skole2,1,5,3,2,4
Skole2,2,4,1,3,3
Skole2,3,3,2,4,2
Skole3,4,2,4,5,1
Skole3,5,1,5,1,5
Skole3,1,5,3,2,4
Skole3,2,4,1,3,3
Skole3,3,3,2,4,2
Skole3,4,2,4,5,1
Skole3,5,1,5,1,5
Skole3,1,5,3,2,4
Skole3,2,4,1,3,3
Skole3,3,3,2,4,2
Skole3,4,2,4,5,1
Skole3,5,1,5,1,5
Skole3,1,5,3,2,4
Skole4,2,4,1,3,3
Skole4,3,3,2,4,2
Skole4,4,2,4,5,1
Skole4,5,1,5,1,5
Skole4,1,5,3,2,4
Skole4,2,4,1,3,3
Skole4,3,3,2,4,2
Skole4,5,1,2,4,2
Skole4,3,3,2,4,2
